instance_id,instance_name,service_name,environment,team,instance_type,vcpu,mem_gb,avg_cpu_pct,peak_cpu_pct,avg_mem_pct,peak_mem_pct,hours_running_monthly,monthly_cost_usd,recommended_action,projected_monthly_savings_usd,technical_notes
i-0a1122334455aa01,prod-loan-api-01,loan-application-service,prod,lending-core,c5.4xlarge,16,32,18.2,38.5,34.0,52.0,720,489.6,c5.2xlarge,244.8,Sustained CPU <20% for 30 days. Downsize to c5.2xlarge.
i-0a1122334455aa02,prod-loan-api-02,loan-application-service,prod,lending-core,c5.4xlarge,16,32,17.5,36.0,32.5,51.0,720,489.6,c5.2xlarge,244.8,Sustained CPU <20% for 30 days. Downsize to c5.2xlarge.
i-0a1122334455aa03,prod-loan-api-03,loan-application-service,prod,lending-core,c5.4xlarge,16,32,16.9,35.1,33.1,49.5,720,489.6,c5.2xlarge,244.8,Sustained CPU <20% for 30 days. Downsize to c5.2xlarge.
i-0a1122334455aa04,prod-loan-api-04,loan-application-service,prod,lending-core,c5.4xlarge,16,32,19.1,39.2,35.2,53.2,720,489.6,c5.2xlarge,244.8,Sustained CPU <20% for 30 days. Downsize to c5.2xlarge.
i-0b2233445566bb01,prod-risk-scoring-01,underwriting-engine,prod,risk-scoring,r5.4xlarge,16,128,14.5,28.0,28.0,42.0,720,725.76,r5.2xlarge,362.88,Oversized memory & CPU. Avg memory 28%. Downsize to r5.2xlarge.
i-0b2233445566bb02,prod-risk-scoring-02,underwriting-engine,prod,risk-scoring,r5.4xlarge,16,128,13.8,27.2,27.5,41.0,720,725.76,r5.2xlarge,362.88,Oversized memory & CPU. Downsize to r5.2xlarge.
i-0b2233445566bb03,prod-risk-scoring-03,underwriting-engine,prod,risk-scoring,r5.4xlarge,16,128,15.1,29.5,29.2,43.1,720,725.76,r5.2xlarge,362.88,Oversized memory & CPU. Downsize to r5.2xlarge.
i-0c3344556677cc01,prod-bureau-conn-01,credit-bureau-connector,prod,risk-scoring,m5.2xlarge,8,32,11.2,22.0,22.4,35.0,720,276.48,m5.large,207.36,IO bound connector. CPU avg 11%. Downsize to m5.large.
i-0c3344556677cc02,prod-bureau-conn-02,credit-bureau-connector,prod,risk-scoring,m5.2xlarge,8,32,10.8,21.5,21.8,34.0,720,276.48,m5.large,207.36,IO bound connector. Downsize to m5.large.
i-0d4455667788dd01,prod-kyc-ocr-01,kyc-document-service,prod,lending-core,c5.4xlarge,16,32,12.0,31.0,25.0,44.0,720,489.6,c5.2xlarge (Spot Mix),342.72,Batch OCR processing. Migrate to 70% Spot ASG with c5.2xlarge.
i-0d4455667788dd02,prod-kyc-ocr-02,kyc-document-service,prod,lending-core,c5.4xlarge,16,32,11.5,30.2,24.1,42.5,720,489.6,c5.2xlarge (Spot Mix),342.72,Batch OCR processing. Migrate to 70% Spot ASG with c5.2xlarge.
i-0d4455667788dd03,prod-kyc-ocr-03,kyc-document-service,prod,lending-core,c5.4xlarge,16,32,12.8,32.1,26.0,45.0,720,489.6,c5.2xlarge (Spot Mix),342.72,Batch OCR processing. Migrate to 70% Spot ASG with c5.2xlarge.
i-0e5566778899ee01,prod-payment-gw-01,payment-gateway-service,prod,payments,c5.2xlarge,8,16,38.0,68.0,45.0,62.0,720,244.8,Retain / CSP 1-Yr,73.44,PCI DSS scope. Well-utilised. Apply 1-Yr Savings Plan.
i-0e5566778899ee02,prod-payment-gw-02,payment-gateway-service,prod,payments,c5.2xlarge,8,16,36.5,65.0,44.0,60.5,720,244.8,Retain / CSP 1-Yr,73.44,PCI DSS scope. Well-utilised. Apply 1-Yr Savings Plan.
i-0f6677889900ff01,prod-disburse-01,disbursement-engine,prod,payments,m5.2xlarge,8,32,19.5,41.0,31.0,48.0,720,276.48,m5.xlarge,138.24,Downsize to m5.xlarge. Multi-AZ maintained.
i-0f6677889900ff02,prod-disburse-02,disbursement-engine,prod,payments,m5.2xlarge,8,32,18.2,39.5,30.2,46.5,720,276.48,m5.xlarge,138.24,Downsize to m5.xlarge. Multi-AZ maintained.
i-107788990011aa01,prod-analytics-worker-01,analytics-batch-pipeline,prod,data-eng,r5.4xlarge,16,128,8.5,45.0,18.0,52.0,720,725.76,r5.2xlarge (Spot),544.32,Runs batch analytics 4h/day but kept 24/7. Convert to ASG Spot.
i-107788990011aa02,prod-analytics-worker-02,analytics-batch-pipeline,prod,data-eng,r5.4xlarge,16,128,7.8,42.0,17.5,50.0,720,725.76,r5.2xlarge (Spot),544.32,Runs batch analytics 4h/day but kept 24/7. Convert to ASG Spot.
i-118899001122bb01,prod-notification-01,notification-service,prod,platform,t3.xlarge,4,16,15.0,32.0,25.0,40.0,720,119.81,t3.medium,79.87,Low CPU push service. Downsize to t3.medium.
i-118899001122bb02,prod-notification-02,notification-service,prod,platform,t3.xlarge,4,16,14.2,30.5,24.5,39.0,720,119.81,t3.medium,79.87,Low CPU push service. Downsize to t3.medium.
i-201122334455cc01,stage-loan-api-01,loan-application-service,staging,lending-core,c5.2xlarge,8,16,3.2,12.0,18.0,25.0,720,244.8,t3.xlarge + Schedule,178.6,Idle 24/7. Downsize to t3.xlarge and stop on nights/weekends.
