event_id,detection_date,affected_service,environment,anomaly_type,root_cause,detection_mechanism,time_to_detection_hours,expected_cost_usd,actual_cost_usd,financial_impact_usd,remediation_action,resolution_status
ANOM-2026-001,2026-04-12,analytics-batch-pipeline,prod,Runaway Spark / EMR Job,Developer test script looping over unindexed S3 partition in infinite retry,AWS Cost Anomaly Detection (Email),48,120.0,3850.0,3730.0,Job terminated manually; S3 partition index fixed; retry limit enforced,RESOLVED
ANOM-2026-002,2026-05-03,sandbox-experimental,dev,Abandoned GPU Instance,Data scientist launched p3.8xlarge for exploratory credit scoring model and forgot to stop,End of month invoice review,336,0.0,6144.0,6144.0,Instance terminated; auto-stop policy created; GPU launches restricted via IAM,RESOLVED
ANOM-2026-003,2026-06-18,kyc-document-service,prod,NAT Gateway Egress Surge,"Microservice release v2.4 changed S3 client SDK configuration, dropping VPC Gateway Endpoint route",Datadog network monitor,72,800.0,5400.0,4600.0,Hotfix deployed restoring VPC endpoint; integration tests added for routing tables,RESOLVED
ANOM-2026-004,2026-07-02,perf-testing-load,dev,Load Test Cluster Left Active,Pre-launch stress test cluster (20x c5.4xlarge) left running over 4-day long holiday weekend,Priya Menon (CFO) budget threshold alert,96,200.0,3916.8,3716.8,Instances terminated; TTL tags mandated on all perf test infrastructure,RESOLVED
ANOM-2026-005,2026-07-24,underwriting-engine,prod,Cross-AZ Traffic Loop,Kafka partition rebalancing caused consumer group to fetch across AZ-1a and AZ-1c continuously,CloudWatch network metric alarm,36,450.0,2980.0,2530.0,Kafka rack-awareness enabled so consumers fetch from leader in same AZ,RESOLVED
ANOM-2026-006,2026-08-08,cloudwatch-logging,prod,Debug Logging Flood,Payment service accidentally set to DEBUG log level before marketing campaign push,CloudWatch billing metric alarm,60,300.0,4200.0,3900.0,Log level restored to INFO; CloudWatch log ingestion anomaly alarm configured,RESOLVED
ANOM-2026-007,2026-08-22,ebs-snapshots,prod,Snapshot Retention Bug,Custom backup Lambda script threw exception before calling delete_snapshot on older items,Monthly FinOps storage audit,720,1100.0,3850.0,2750.0,Replaced custom Lambda with native AWS Data Lifecycle Manager (DLM) policies,RESOLVED
ANOM-2026-008,2026-09-02,disbursement-engine,prod,Cross-Region Duplicate Sync,Disbursement reconciler synced entire transaction history instead of delta across region,FinOps daily cost check,24,80.0,1420.0,1340.0,Delta-only sync logic verified and deployed with idempotency keys,RESOLVED
ANOM-2026-009,2026-09-15,loan-application-service,dev,Orphaned Unattached EBS Fleet,DevOps test pipeline created test volumes during load run without delete_on_termination flag,Weekly tag & resource compliance report,120,50.0,1850.0,1800.0,Cleaned unattached volumes; enforced Terraform security guardrails,RESOLVED
ANOM-2026-010,2026-09-25,elasticache-redis,staging,Unbounded Redis Key Accumulation,Session store TTL bug in staging caused memory exhaustion and auto-scaling to larger node,CloudWatch ElastiCache memory alert,48,150.0,1152.0,1002.0,Fixed Redis eviction policy to volatile-lru; rightsized cluster back to cache.t3.medium,RESOLVED
