date,day_of_week,service_name,environment,team,compute_cost_usd,database_cost_usd,storage_cost_usd,network_cost_usd,total_daily_cost_usd,loan_applications_processed
2026-09-01,Wed,loan-application-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,23399
2026-09-01,Wed,loan-application-service,staging,lending-core,68.69,42.53,22.9,29.44,163.56,0
2026-09-01,Wed,loan-application-service,dev,lending-core,51.52,31.89,17.17,22.08,122.66,0
2026-09-01,Wed,underwriting-engine,prod,risk-scoring,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,underwriting-engine,staging,risk-scoring,68.69,42.53,22.9,29.44,163.56,0
2026-09-01,Wed,underwriting-engine,dev,risk-scoring,51.52,31.89,17.17,22.08,122.66,0
2026-09-01,Wed,credit-bureau-connector,prod,risk-scoring,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,kyc-document-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,kyc-document-service,staging,lending-core,68.69,42.53,22.9,29.44,163.56,0
2026-09-01,Wed,kyc-document-service,dev,lending-core,51.52,31.89,17.17,22.08,122.66,0
2026-09-01,Wed,payment-gateway-service,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,disbursement-engine,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,disbursement-engine,staging,payments,68.69,42.53,22.9,29.44,163.56,0
2026-09-01,Wed,collections-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,ledger-accounting-service,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,analytics-batch-pipeline,prod,data-eng,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,feature-store-ml,prod,data-eng,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,notification-service,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,auth-identity-service,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-01,Wed,api-gateway-mesh,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,loan-application-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,23399
2026-09-02,Thu,loan-application-service,staging,lending-core,68.69,42.53,22.9,29.44,163.56,0
2026-09-02,Thu,loan-application-service,dev,lending-core,51.52,31.89,17.17,22.08,122.66,0
2026-09-02,Thu,underwriting-engine,prod,risk-scoring,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,underwriting-engine,staging,risk-scoring,68.69,42.53,22.9,29.44,163.56,0
2026-09-02,Thu,underwriting-engine,dev,risk-scoring,51.52,31.89,17.17,22.08,122.66,0
2026-09-02,Thu,credit-bureau-connector,prod,risk-scoring,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,kyc-document-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,kyc-document-service,staging,lending-core,68.69,42.53,22.9,29.44,163.56,0
2026-09-02,Thu,kyc-document-service,dev,lending-core,51.52,31.89,17.17,22.08,122.66,0
2026-09-02,Thu,payment-gateway-service,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,disbursement-engine,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,disbursement-engine,staging,payments,68.69,42.53,22.9,29.44,163.56,0
2026-09-02,Thu,collections-service,prod,lending-core,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,ledger-accounting-service,prod,payments,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,analytics-batch-pipeline,prod,data-eng,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,feature-store-ml,prod,data-eng,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,notification-service,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,auth-identity-service,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-02,Thu,api-gateway-mesh,prod,platform,223.26,138.21,74.42,95.68,531.57,0
2026-09-03,Fri,loan-application-service,prod,lending-core,165.38,102.38,55.13,70.88,393.77,17333
2026-09-03,Fri,loan-application-service,staging,lending-core,50.88,31.5,16.96,21.81,121.15,0
