billing_period,budget_usd,total_spend_usd,budget_variance_usd,loan_applications,cost_per_application_usd,ec2_instances_usd,ec2_ebs_usd,rds_postgres_usd,s3_storage_usd,data_transfer_usd,elasticache_redis_usd,nat_gateway_usd,cloudwatch_logging_usd,elb_alb_usd,other_services_usd
2025-10,52000,50000,-2000,210000,0.2381,14000.0,2500.0,11500.0,4500.0,4000.0,4000.0,2000.0,1500.0,2000.0,4000.0
2025-11,55000,54000,-1000,230000,0.2348,15316.36,2773.64,12370.91,4958.18,4516.36,4270.91,2233.64,1669.09,2110.91,3780.0
2025-12,58000,61000,3000,255000,0.2392,17523.64,3216.36,13919.09,5711.82,5323.64,4769.09,2606.36,1940.91,2329.09,3660.0
2026-01,62000,72000,10000,290000,0.2483,20945.45,3894.55,16363.64,6872.73,6545.45,5563.64,3174.55,2356.36,2683.64,3599.99
2026-02,66000,85000,19000,325000,0.2615,25036.36,4713.64,19240.91,8268.18,8036.36,6490.91,3863.64,2859.09,3090.91,3400.0
2026-03,71000,98000,27000,360000,0.2722,29221.82,5568.18,22094.55,9710.91,9621.82,7394.55,4588.18,3385.45,3474.55,2939.99
2026-04,76000,112000,36000,395000,0.2835,33803.64,6516.36,25149.09,11301.82,11403.64,8349.09,5396.36,3970.91,3869.09,2240.0
2026-05,81000,127000,46000,430000,0.2953,38792.73,7562.27,28401.82,13046.36,13392.73,9351.82,6292.27,4618.18,4271.82,1270.0
2026-06,85000,141000,56000,460000,0.3065,43581.82,8588.18,31404.55,14740.91,15381.82,10254.55,7178.18,5255.45,4614.55,-0.01
2026-07,89000,154000,65000,485000,0.3175,48160.0,9590.0,34160.0,16380.0,17360.0,11060.0,8050.0,5880.0,4900.0,-1540.0
2026-08,92000,168000,76000,505000,0.3327,53149.09,10690.91,37112.73,18174.55,19549.09,11912.73,9010.91,6567.27,5192.73,-3360.01
2026-09,95000,180000,85000,520000,0.3462,57600.0,11700.0,39600.0,19800.0,21600.0,12600.0,9900.0,7200.0,5400.0,-5400.0
