path_id,source_service,destination_service,transfer_type,monthly_bytes_gb,cost_per_gb_usd,monthly_cost_usd,architectural_reason,optimisation_recommendation,compliance_impact,projected_monthly_savings_usd
DT-PATH-01,kyc-document-service (ap-south-1a),s3-lendflow-loan-docs-prod (via Public NAT),NAT Gateway Data Processing,105000,0.045,4725.0,EC2 downloading S3 docs via Public NAT Gateway instead of S3 Gateway Endpoint,Deploy AWS S3 Gateway Endpoint (Free route via VPC route table),Preserves data localisation and RBI multi-AZ compliance,4725.0
DT-PATH-02,loan-application-service (ap-south-1a),rds-postgres-primary (ap-south-1b),Cross-AZ Inter-Service Transfer,185000,0.02,3700.0,API in AZ-1a constantly querying Primary DB located in AZ-1b without AZ-affinity,Align primary application workloads with DB AZ; use read-replicas in AZ-1a,Maintains multi-AZ standby for RBI/SOC2 high availability,1850.0
DT-PATH-03,underwriting-engine (ap-south-1b),credit-bureau-connector (ap-south-1c),Cross-AZ Inter-Service Transfer,75000,0.02,1500.0,Microservices communicating across AZs through external ALB rather than internal DNS/Service Connect,Implement AWS Cloud Map / ECS Service Connect with local AZ priority routing,Internal TLS 1.3 encryption maintained for PCI DSS,750.0
DT-PATH-04,analytics-batch-pipeline (ap-south-1a),s3-lendflow-raw-analytics-prod (via Public NAT),NAT Gateway Data Processing,45000,0.045,2025.0,Nightly batch ETL downloading large parquet dumps through NAT Gateway,Route all S3 analytics traffic through S3 VPC Gateway Endpoint,Zero data egress charge via Gateway Endpoint,2025.0
DT-PATH-05,api-gateway-mesh (ap-south-1),external-client-egress (Internet),Internet Egress Transfer,80000,0.09,7200.0,"Direct API responses, uncompressed JSON payloads, redundant polling headers",Enable GZIP/Brotli compression at ALB/CloudFront; implement HTTP 304 caching,"Safe, no compliance breach; improves client latency",1440.0
DT-PATH-06,audit-logging-agent (ap-south-1),cloudwatch-logs / datadog (Internet),Public NAT / Internet Egress,35000,0.045,1575.0,Verbose debug logs shipped to external SaaS over NAT Gateway,Deploy CloudWatch Logs Interface VPC Endpoint; filter redundant debug logs,SOC 2 Type II audit trail fully retained at lower volume,700.0
DT-PATH-07,payment-gateway-service (ap-south-1a),payment-processor-partner (Internet),Internet Egress Transfer,22000,0.09,1980.0,PCI payment token authorization payloads to payment aggregator,"Optimise payload schema, negotiate AWS Direct Connect / Partner Interconnect",Strict PCI DSS network isolation verified,198.0
DT-PATH-08,disbursement-engine (ap-south-1b),core-banking-api (eu-west-1 Partner),Cross-Region Transfer,12000,0.02,240.0,Banking settlement synchronization with European partner bank,Batch settlement summaries hourly instead of real-time per-transaction RPC,GDPR compliance verified; EU data remains strictly within EU boundaries,72.0
DT-PATH-09,staging-environment (ap-south-1),s3-lendflow-dev-temp-dumps (via NAT),NAT Gateway Data Processing,18000,0.045,810.0,Staging regression tests downloading test datasets through NAT Gateway,Enable S3 VPC Endpoint on Staging VPC route tables,Staging testing unaffected,810.0
DT-PATH-10,monitoring-prometheus (ap-south-1a),"all-nodes (ap-south-1b, ap-south-1c)",Cross-AZ Inter-Service Transfer,32000,0.02,640.0,Centralised Prometheus scraper pulling metrics across AZ boundaries every 15s,Deploy local Prometheus agent per AZ with remote write aggregation,Improves monitoring reliability during AZ degradation,320.0
